ELECTION_DISTRICT,DISTRICT,TOWN,BALLOT_BOX,ELECTION_CENTRE,CENTRE,PARTY,VOTES
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΠΑΤΡΙΩΤΙΚΟΣ ΣΥΝΑΣΠΙΣΜΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΠΝΟΗ ΛΑΟΥ,3
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΜΑΡΔΑΠΗΤΤΑΣ ΧΡΥΣΑΝΘΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΧΡΙΣΤΟΥ ΑΝΔΡΕΑΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΧΡΥΣΑΝΘΟΥ ΣΠΥΡΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΘΕΜΙΣΤΟΚΛΕΟΥΣ ΑΒΡΑΑΜ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΠΟΥΡΓΟΥΡΙΔΗΣ ΕΥΑΓΓΕΛΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΣΠΑΡΟΣ ΦΟΙΒΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,001,ΚΕΝΤΡΙΚΑ ΓΡ. ΤΜ. ΠΟΛΕΟΔΟΜΙΑΣ & ΟΙΚΗΣΕΩΣ,ΚΕΝΤΡΟ Α,ΧΡΙΣΤΟΔΟΥΛΟΥ ΧΡΙΣΤΟΔΟΥΛΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΑΚΕΛ (ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ),45
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΑΛΛΑΓΗ ΓΕΝΙΑΣ,7
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΑΛΛΗΛΕΓΓΥΗ,12
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΑΜΜΟΧΩΣΤΟΣ ΓΙΑ ΤΗΝ ΚΥΠΡΟ,18
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΑΦΥΠΝΙΣΗ -2020-,5
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΔΗΜΟΚΡΑΤΙΚΗ ΠΑΡΑΤΑΞΗ,15
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ,40
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ,110
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ.),26
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ-ΚΙΝΗΜΑ ΕΝ.ΚΥΠ. ΚΥΝΗΓΩΝ,1
